reviewDate,score,interval,reviewTime,jpn,partOS,eng,category,agree
45457.80322,good,0,21.615,はじめまして。,phrase,Nice to meet you.,DL,yes
45458.774,good,-100,3,はじめまして。,phrase,Nice to meet you.,DL,yes
45458.77556,good,1,3,はじめまして。,phrase,Nice to meet you.,DL,yes
45459.64784,good,4,4,はじめまして。,phrase,Nice to meet you.,DL,no
45464.06955,good,11,4,はじめまして。,phrase,Nice to meet you.,DL,no
45458.7728,good,-100,3,おはようございます。,phrase,Good morning.,DL,no
45458.77465,good,1,4,おはようございます。,phrase,Good morning.,DL,yes
45459.72088,good,3,4,おはようございます。,phrase,Good morning.,DL,no
45462.65227,good,9,5,おはようございます。,phrase,Good morning.,DL,yes
45458.77404,good,-100,3,こんにちは.,phrase,Good afternoon.,DL,no
45458.775,good,1,5,こんにちは.,phrase,Good afternoon.,DL,yes
45459.63135,good,4,5,こんにちは.,phrase,Good afternoon.,DL,yes
45464.09287,good,11,4,こんにちは.,phrase,Good afternoon.,DL,yes
45458.77385,good,-100,3,こんばんわ。,phrase,Good evening.,DL,yes
45458.77539,good,1,3,こんばんわ。,phrase,Good evening.,DL,no
45459.63611,good,3,5,こんばんわ。,phrase,Good evening.,DL,yes
45462.65231,good,6,4,こんばんわ。,phrase,Good evening.,DL,yes
45458.77361,good,-100,3,おやすみなさい。,phrase,Good night.,DL,yes
45458.77536,good,1,3,おやすみなさい。,phrase,Good night.,DL,yes
45459.67238,good,3,3,おやすみなさい。,phrase,Good night.,DL,yes
45462.65359,good,8,4,おやすみなさい。,phrase,Good night.,DL,yes
45458.77413,good,-100,4,さようなら。,phrase,Bye.,DL,no
45458.77546,good,1,3,さようなら。,phrase,Bye.,DL,yes
45459.63178,good,3,5,さようなら。,phrase,Bye.,DL,yes
45462.65713,good,6,3,さようなら。,phrase,Bye.,DL,yes
45458.77377,good,-100,7,またあした。,phrase,See you tomorrow.,DL,yes
45458.77532,good,1,4,またあした。,phrase,See you tomorrow.,DL,yes
45459.62294,good,3,122,またあした。,phrase,See you tomorrow.,DL,yes
45462.65605,good,7,4,またあした。,phrase,See you tomorrow.,DL,no
45458.77443,good,-100,3,またね。,phrase,See you later.,DL,yes
45458.77576,good,1,4,またね。,phrase,See you later.,DL,yes
45459.71274,good,4,3,またね。,phrase,See you later.,DL,yes
45464.1485,good,8,3,またね。,phrase,See you later.,DL,yes
45458.77424,good,-100,3,ほんとうですか。,phrase,Really?,DL,no
45458.77505,good,1,4,ほんとうですか。,phrase,Really?,DL,yes
45459.67279,good,3,8,ほんとうですか。,phrase,Really?,DL,yes
45462.6547,good,8,8,ほんとうですか。,phrase,Really?,DL,yes
45458.7744,good,-100,8,うそです。,phrase,Just kidding.,DL,yes
45458.77559,good,1,3,うそです。,phrase,Just kidding.,DL,yes
45459.71242,good,3,4,うそです。,phrase,Just kidding.,DL,yes
45462.65552,good,9,4,うそです。,phrase,Just kidding.,DL,yes
45458.77285,good,-100,4,なるほどう。,phrase,That makes sense.,DL,yes
45458.77476,good,1,4,なるほどう。,phrase,That makes sense.,DL,no
45459.62698,good,4,7,なるほどう。,phrase,That makes sense.,DL,yes
45464.85621,good,13,7.316,なるほどう。,phrase,That makes sense.,DL,yes
45458.77391,good,-100,5,しりませんでした。,phrase,I didn't know that.,DL,yes
45458.77479,good,1,3,しりませんでした。,phrase,I didn't know that.,DL,yes
45459.62131,good,4,4,しりませんでした。,phrase,I didn't know that.,DL,yes
45464.15145,good,11,7,しりませんでした。,phrase,I didn't know that.,DL,no
45458.77456,good,-100,3,どうぞ。,phrase,Here you go.,DL,yes
45458.77567,good,1,7,どうぞ。,phrase,Here you go.,DL,yes
45459.67178,good,4,3,どうぞ。,phrase,Here you go.,DL,yes
45464.06973,good,11,4,どうぞ。,phrase,Here you go.,DL,no
45458.77397,good,-100,5,ありがとうございます。,phrase,Thank you very much.,DL,no
45458.77552,good,1,5,ありがとうございます。,phrase,Thank you very much.,DL,yes
45459.67258,good,3,4,ありがとうございます。,phrase,Thank you very much.,DL,no
45462.65433,good,7,4,ありがとうございます。,phrase,Thank you very much.,DL,yes
45458.77299,good,-100,12,こちらこそ。,phrase,Thank you too.,DL,yes
45458.77494,good,1,6,こちらこそ。,phrase,Thank you too.,DL,yes
45459.63559,good,4,13,こちらこそ。,phrase,Thank you too.,DL,yes
45464.85632,good,9,2.817,こちらこそ。,phrase,Thank you too.,DL,yes
45458.77453,good,-100,4,すみません。,phrase,I'm sorry.,DL,yes
45458.77524,good,1,3,すみません。,phrase,I'm sorry.,DL,yes
45459.71106,good,4,6,すみません。,phrase,I'm sorry.,DL,yes
45464.85653,good,12,2.454,すみません。,phrase,I'm sorry.,DL,yes
45458.77409,good,-100,4,だいじょうぶですか。,phrase,Are you alright？,DL,yes
45458.77508,good,1,3,だいじょうぶですか。,phrase,Are you alright？,DL,yes
45459.724,good,4,11,だいじょうぶですか。,phrase,Are you alright？,DL,no
45464.85642,good,13,2.945,だいじょうぶですか。,phrase,Are you alright？,DL,yes
45458.77277,good,-100,5,だいじょうぶです。,phrase,I'm fine.,DL,yes
45458.77471,good,1,5,だいじょうぶです。,phrase,I'm fine.,DL,yes
45459.71278,good,3,3,だいじょうぶです。,phrase,I'm fine.,DL,yes
45462.65444,good,6,5,だいじょうぶです。,phrase,I'm fine.,DL,yes
45458.77461,good,-100,4,たぶん。,phrase,Maybe.,DL,yes
45458.77521,good,1,4,たぶん。,phrase,Maybe.,DL,no
45459.63157,good,3,12,たぶん。,phrase,Maybe.,DL,yes
45462.65804,good,7,5,たぶん。,phrase,Maybe.,DL,yes
45458.77382,good,-100,4,おねがいします。,phrase,Please.,DL,no
45458.77483,good,1,3,おねがいします。,phrase,Please.,DL,yes
45459.72414,good,4,12,おねがいします。,phrase,Please.,DL,yes
45464.15179,good,12,2,おねがいします。,phrase,Please.,DL,yes
45458.77369,good,-100,7,もういちどおねがいします。,phrase,Once more please?,DL,no
45458.77487,good,1,4,もういちどおねがいします。,phrase,Once more please?,DL,no
45459.71485,good,3,9,もういちどおねがいします。,phrase,Once more please?,DL,yes
45462.65517,good,6,12,もういちどおねがいします。,phrase,Once more please?,DL,yes
45458.77448,good,-100,4,よろしくおねがいします。,phrase,Please be nice to me.,DL,no
45458.77543,good,1,3,よろしくおねがいします。,phrase,Please be nice to me.,DL,yes
45459.61648,good,3,6,よろしくおねがいします。,phrase,Please be nice to me.,DL,no
45462.65875,good,9,3,よろしくおねがいします。,phrase,Please be nice to me.,DL,yes
45458.77431,good,-100,6,しつもんがあります。,phrase,I have a question.,DL,yes
45458.77572,good,1,4,しつもんがあります。,phrase,I have a question.,DL,no
45459.64779,good,3,7,しつもんがあります。,phrase,I have a question.,DL,yes
45462.65653,good,9,8,しつもんがあります。,phrase,I have a question.,DL,yes
45458.77358,good,-100,8,わかりましたか。,phrase,Do you understand？,DL,no
45458.77528,good,1,3,わかりましたか。,phrase,Do you understand？,DL,yes
45459.62344,good,3,4,わかりましたか。,phrase,Do you understand？,DL,yes
45462.65749,good,8,6,わかりましたか。,phrase,Do you understand？,DL,yes
45458.79397,good,-100,5,はい、わかりました。,phrase,Yes I understand.,DL,yes
45458.79581,good,1,11,はい、わかりました。,phrase,Yes I understand.,DL,yes
45459.71809,good,4,5,はい、わかりました。,phrase,Yes I understand.,DL,no
45464.14854,good,11,4,はい、わかりました。,phrase,Yes I understand.,DL,yes
45458.79369,good,-100,6,いいえ、わかりません。,phrase,No I don't understand.,DL,no
45458.79568,good,1,6,いいえ、わかりません。,phrase,No I don't understand.,DL,no
45459.71253,good,4,4,いいえ、わかりません。,phrase,No I don't understand.,DL,yes
45464.13656,good,12,4,いいえ、わかりません。,phrase,No I don't understand.,DL,yes
45458.7938,bad,-100,9,しっていますか。,phrase,Do you know？,DL,yes
45458.79468,good,-100,14,しっていますか。,phrase,Do you know？,DL,yes
45458.79557,good,1,5,しっていますか。,phrase,Do you know？,DL,yes
45459.67188,good,3,8,しっていますか。,phrase,Do you know？,DL,no
45462.65354,good,8,6,しっていますか。,phrase,Do you know？,DL,yes
45458.79501,good,-100,7,しっています。,phrase,I know.,DL,yes
45458.79723,good,1,8,しっています。,phrase,I know.,DL,yes
45459.72443,good,4,6,しっています。,phrase,I know.,DL,yes
45464.85775,good,10,7.943,しっています。,phrase,I know.,DL,yes
45458.79391,good,-100,10,しりません。,phrase,I don't know.,DL,no
45458.79642,good,1,7,しりません。,phrase,I don't know.,DL,yes
45459.61663,good,3,5,しりません。,phrase,I don't know.,DL,no
45462.65102,good,9,7,しりません。,phrase,I don't know.,DL,yes
45458.79426,good,-100,4,いきましょう！,phrase,Let's go！,DL,no
45458.7963,good,1,5,いきましょう！,phrase,Let's go！,DL,no
45459.62356,good,3,3,いきましょう！,phrase,Let's go！,DL,yes
45462.65209,good,8,5,いきましょう！,phrase,Let's go！,DL,yes
45458.79485,good,-100,6,かっこいいです。,phrase,It's cool.,AC,yes
45458.79711,good,1,6,かっこいいです。,phrase,It's cool.,AC,yes
45459.71258,good,3,4,かっこいいです。,phrase,It's cool.,AC,yes
45462.65484,good,8,3,かっこいいです。,phrase,It's cool.,AC,yes
45458.79478,good,-100,3,おいしいです。,phrase,It's delicious.,DL,yes
45458.79698,good,1,10,おいしいです。,phrase,It's delicious.,DL,no
45459.66861,good,4,4,おいしいです。,phrase,It's delicious.,DL,yes
45464.07027,good,10,3,おいしいです。,phrase,It's delicious.,DL,no
45458.79439,good,-100,6,おいしくないです。,phrase,It's not delicious.,DL,yes
45458.79686,good,1,18,おいしくないです。,phrase,It's not delicious.,DL,yes
45459.67235,good,4,6,おいしくないです。,phrase,It's not delicious.,DL,yes
45464.07108,good,12,4,おいしくないです。,phrase,It's not delicious.,DL,no
45458.79324,good,-100,7,かんたんです。,phrase,It is simple.,AC,no
45458.79561,good,1,4,かんたんです。,phrase,It is simple.,AC,yes
45459.71816,good,3,6,かんたんです。,phrase,It is simple.,AC,yes
45462.65681,good,7,8,かんたんです。,phrase,It is simple.,AC,yes
45458.79432,good,-100,5,むずかしいです。,phrase,It's difficult.,AC,yes
45458.79659,good,1,6,むずかしいです。,phrase,It's difficult.,AC,yes
45459.62705,good,4,6,むずかしいです。,phrase,It's difficult.,AC,no
45464.06769,good,12,6,むずかしいです。,phrase,It's difficult.,AC,yes
45458.79475,good,-100,6,ちかいです。,phrase,It's close.,AC,yes
45458.79634,good,1,4,ちかいです。,phrase,It's close.,AC,yes
45459.66867,good,3,5,ちかいです。,phrase,It's close.,AC,yes
45462.65155,good,7,8,ちかいです。,phrase,It's close.,AC,yes
45458.79404,good,-100,6,とおいです。,phrase,It is far.,AC,no
45458.79545,good,1,4,とおいです。,phrase,It is far.,AC,no
45459.71443,good,4,5,とおいです。,phrase,It is far.,AC,yes
45464.07103,good,11,4,とおいです。,phrase,It is far.,AC,yes
45458.79316,good,-100,4,たかいです。,phrase,It is expensive.,AC,yes
45458.79524,good,1,5,たかいです。,phrase,It is expensive.,AC,yes
45459.711,good,4,5,たかいです。,phrase,It is expensive.,AC,yes
45464.14889,good,9,5,たかいです。,phrase,It is expensive.,AC,no
45458.79443,good,-100,4,やすいです。,phrase,It's cheap.,AC,yes
45458.79704,good,1,5,やすいです。,phrase,It's cheap.,AC,yes
45459.61672,good,3,8,やすいです。,phrase,It's cheap.,AC,yes
45462.6542,good,9,9,やすいです。,phrase,It's cheap.,AC,yes
45458.79346,good,-100,4,そうですね。,phrase,I see.,DL,yes
45458.79652,good,1,8,そうですね。,phrase,I see.,DL,yes
45459.62126,good,4,6,そうですね。,phrase,I see.,DL,yes
45464.85759,good,13,62.951,そうですね。,phrase,I see.,DL,no
45458.79412,good,-100,7,ジムに行きます。,phrase,I go to a gym.,AA,yes
45458.79541,good,1,3,ジムに行きます。,phrase,I go to a gym.,AA,yes
45459.72472,good,3,6,ジムに行きます。,phrase,I go to a gym.,AA,yes
45462.65375,good,6,4,ジムに行きます。,phrase,I go to a gym.,AA,no
45458.79451,good,-100,7,すしをたべます。,phrase,I eat sushi.,AA,yes
45458.79666,good,1,6,すしをたべます。,phrase,I eat sushi.,AA,yes
45459.63579,good,3,8,すしをたべます。,phrase,I eat sushi.,AA,yes
45462.65461,good,8,7,すしをたべます。,phrase,I eat sushi.,AA,no
45458.79362,good,-100,14,カフェでべんきょうします。,phrase,I study at a cafe.,AA,yes
45458.79532,good,1,7,カフェでべんきょうします。,phrase,I study at a cafe.,AA,yes
45459.7145,good,4,6,カフェでべんきょうします。,phrase,I study at a cafe.,AA,yes
45464.09264,good,10,30,カフェでべんきょうします。,phrase,I study at a cafe.,AA,yes
45458.79512,good,-100,9,えきはどこですか。,phrase,Where is the station?,AC,yes
45458.79728,good,1,4,えきはどこですか。,phrase,Where is the station?,AC,yes
45459.6313,good,3,5,えきはどこですか。,phrase,Where is the station?,AC,yes
45462.65122,good,7,4,えきはどこですか。,phrase,Where is the station?,AC,yes
45458.79334,good,-100,9,それは何ですか。,phrase,What is that？,AC,yes
45458.79519,good,1,6,それは何ですか。,phrase,What is that？,AC,yes
45459.72025,good,4,23,それは何ですか。,phrase,What is that？,AC,yes
45464.17458,good,9,47,それは何ですか。,phrase,What is that？,AC,yes
45458.79421,good,-100,8,これはりんごとペンです。,phrase,This is an apple and pen.,AC,yes
45458.79624,good,1,37,これはりんごとペンです。,phrase,This is an apple and pen.,AC,yes
45459.71475,good,4,7,これはりんごとペンです。,phrase,This is an apple and pen.,AC,yes
45464.0678,good,9,10,これはりんごとペンです。,phrase,This is an apple and pen.,AC,no
45458.79493,good,-100,7,もちろんです。,phrase,Of course.,DL,no
45458.79714,good,1,3,もちろんです。,phrase,Of course.,DL,yes
45459.72436,good,4,5,もちろんです。,phrase,Of course.,DL,yes
45464.85651,good,12,2.538,もちろんです。,phrase,Of course.,DL,yes
45458.79341,good,-100,6,おめでとうございます。,phrase,Congratulations！,DL,no
45458.79551,good,1,5,おめでとうございます。,phrase,Congratulations！,DL,yes
45459.63625,good,4,5,おめでとうございます。,phrase,Congratulations！,DL,no
45464.13808,good,10,4,おめでとうございます。,phrase,Congratulations！,DL,yes
45459.63596,good,-100,15,八時です。,phrase,It's 8:00.,TN,yes
45459.64757,good,1,4,八時です。,phrase,It's 8:00.,TN,yes
45460.58984,good,4,6,八時です。,phrase,It's 8:00.,TN,yes
45464.86073,good,12,3.329,八時です。,phrase,It's 8:00.,TN,yes
45459.66834,bad,-100,300,ねむいです。,phrase,I am sleepy.,AC,no
45459.67159,good,-100,3,ねむいです。,phrase,I am sleepy.,AC,yes
45459.71057,good,1,4,ねむいです。,phrase,I am sleepy.,AC,yes
45460.58855,good,3,7,ねむいです。,phrase,I am sleepy.,AC,yes
